Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Timor-Leste,2014,31st,Warning,8,8.3,6.8,8.2,6.4,6.7,7.7,8.5,5.7,8.8,7.1,8.8,6.35,1.54,0.545,0.541,5.17,0.541
Togo,2014,41st,Warning,7.1,7.6,4.8,7.1,7.8,7.1,8.4,8.3,7.5,7.9,7.4,6.8,7.11,1.06,0.852,0.909,0,0.909
Trinidad and Tobago,2014,126th,Stable,5.4,5.6,4.4,4.6,5.8,7.8,5.3,5.1,4.9,5.2,3.3,3.9,4.9,0.66,0.892,0.938,0.53,0.938
Tunisia,2014,78th,Warning,7.3,8.1,7.8,6.3,5.7,5.3,8,5.2,8.1,4.7,4.4,6.6,8.22,3.06,0.436,0.553,0.23,0.553
Turkey,2014,93rd,Warning,7.4,7.3,9,5.3,6.5,3.7,6,5.2,5.9,5.4,7.1,5.3,8.3,1.98,0.658,0.625,1.02,0.625
Turkmenistan,2014,74th,Warning,6.8,7.8,6.9,5.3,6.7,5.1,9.6,6.4,8.5,6,4.2,4.9,6.96,2.02,0.42,0.519,0.58,0.519
Uganda,2014,22nd,Warning,7.9,8.9,8.3,7.3,7.6,6.9,7.8,8.3,7.6,8.7,8.7,8,6.94,0.76,0.641,0.738,0.24,0.738
Ukraine,2014,113th,Warning,4.7,8,6.4,5.5,5,5.4,8,3.9,6.1,4.5,3.4,6.3,6.5,1.86,0.673,0.746,0.95,0.746
United Arab Emirates,2014,143rd,Stable,3.1,3.6,4,3.4,4.5,2.7,6.7,3.2,6.5,4.2,2.5,3.2,7.44,0.76,0.494,0.603,3.09,0.603
United Kingdom,2014,161st,Sustainable,2.8,3.5,5.3,4,3.4,2.1,1.7,2.4,2.1,2.8,2.7,1.5,7.54,1.22,0.489,0.484,0.41,0.484
United States,2014,159th,Stable,2.7,4,4.5,3.1,4.5,1.2,2.4,2.5,3.5,3.3,2.4,1.3,6.82,1.26,0.766,0.718,0.08,0.718
Uruguay,2014,155th,Sustainable,3.4,2.7,2.7,3.5,4.5,4.4,1.6,3.7,2.2,3.8,2.2,3.2,5.97,1.32,0.717,0.779,0,0.779
Uzbekistan,2014,48th,Warning,7.6,8.8,7.4,7.1,7.3,6.6,9.3,5.4,9.3,6.4,5.7,5.4,7.28,2.04,0.641,0.723,1.34,0.723
Venezuela,2014,83rd,Warning,6.2,7.7,6.8,5.5,6.9,5.5,7.7,7.5,7.8,5.4,5.1,4.6,7.04,0.9,0.666,0.764,0,0.764
Vietnam,2014,98th,Warning,5.1,6.9,6,5.7,5.8,5.5,8,5.5,7.6,6.2,5,5.4,7.48,1.4,0.629,0.688,0.19,0.688
Yemen,2014,8th,Alert,9.5,9.4,9.3,9.1,7.8,7.3,8.9,8.5,9,9.1,9,8.5,7.53,0.38,0.462,0.488,3.57,0.488
Zambia,2014,49th,Warning,4.7,5.7,6,8,8.3,7.7,7.7,7.9,6.8,9.3,7.2,6.9,6.56,3.28,0.803,0.748,1.07,0.748
Zimbabwe,2014,11th,Warning,8.1,10,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.9,8.4,7.7,5.85,1.92,0.681,0.836,0,0.836
